Team,Total Matches,Total Draws,Draw Percentage (%),Current Streak Without Draw,Longest Streak Without Draw,Average Streak Without Draw,Draw Consistency (Std Dev %),Draw Trend (Slope)
Boavista,170,54,31.76,19,19,3.14,12.37,-5.2941
Porto,170,27,15.88,11,16,5.96,4.92,-1.1765
Estrela,68,20,29.41,9,9,3.0,8.32,-11.7647
Pacos Ferreira,102,24,23.53,8,10,6.0,8.82,-4.4118
Guimaraes,170,39,22.94,7,13,5.24,8.16,2.0588
Farense,102,26,25.49,6,11,4.0,4.49,-1.2443
AVS,34,12,35.29,4,6,3.67,,0.0
Chaves,68,18,26.47,4,10,3.33,4.16,-5.8824
Famalicao,170,50,29.41,3,14,3.16,8.57,0.5882
Maritimo,102,21,20.59,3,16,4.26,10.19,-0.0
Casa Pia,102,25,24.51,2,10,3.85,1.7,1.4706
Santa Clara,136,33,24.26,2,21,3.81,9.42,-2.2689
Moreirense,136,38,27.94,1,11,3.16,7.78,-2.0588
Arouca,136,37,27.21,1,16,3.41,5.02,0.2941
Estoril,136,33,24.26,1,21,3.96,9.72,-1.4706
Nacional,68,14,20.59,1,13,4.15,0.0,-0.0
Portimonense,136,28,20.59,1,20,4.91,5.88,-1.1765
Sp Lisbon,170,26,15.29,1,17,6.26,5.26,-0.2941
Rio Ave,136,53,38.97,0,9,2.86,11.86,0.5882
Belenenses,68,24,35.29,0,9,3.14,4.16,-5.8824
Vizela,102,30,29.41,0,9,3.79,7.78,-1.4706
Gil Vicente,170,44,25.88,0,17,4.5,7.02,1.4706
Tondela,68,13,19.12,0,19,5.5,2.08,2.9412
Sp Braga,170,32,18.82,0,23,5.52,7.08,0.2941
Benfica,170,25,14.71,0,16,6.9,4.16,-1.1765
