Season,Scenario,Team,Matches To 50% Mark,Games In Progression,Outcome,Profit/Loss (Units),Max Capital Needed (Units)
2024-2025,Lowest Draw %,Porto,17,2,Win,1.0,1
2024-2025,Lowest Draw %,Santa Clara,17,2,Win,1.0,1
2024-2025,Lowest Draw %,Benfica,17,12,Win,56.0,144
2024-2025,Longest Unbeaten Streak,Casa Pia,17,11,Win,35.0,89
2024-2025,Longest Unbeaten Streak,AVS,17,5,Win,3.0,5
2024-2025,Longest Unbeaten Streak,Gil Vicente,17,7,Win,6.0,13
2024-2025,Highest Loss %,Arouca,17,1,Win,2.0,1
2024-2025,Highest Loss %,Nacional,17,5,Win,3.0,5
2024-2025,Highest Loss %,Estrela,17,2,Win,1.0,1
2024-2025,Highest Win %,Sp Lisbon,17,4,Win,2.0,3
2024-2025,Highest Win %,Porto,17,2,Win,1.0,1
2024-2025,Highest Win %,Benfica,17,12,Win,56.0,144
2023-2024,Lowest Draw %,Sp Lisbon,17,5,Win,3.0,5
2023-2024,Lowest Draw %,Chaves,17,1,Win,2.0,1
2023-2024,Lowest Draw %,Estoril,17,2,Win,1.0,1
2023-2024,Longest Unbeaten Streak,Benfica,17,4,Win,2.0,3
2023-2024,Longest Unbeaten Streak,Guimaraes,17,4,Win,2.0,3
2023-2024,Longest Unbeaten Streak,Sp Lisbon,17,5,Win,3.0,5
2023-2024,Highest Loss %,Chaves,17,1,Win,2.0,1
2023-2024,Highest Loss %,Estoril,17,2,Win,1.0,1
2023-2024,Highest Loss %,Arouca,17,13,Win,90.0,233
2023-2024,Highest Win %,Sp Lisbon,17,5,Win,3.0,5
2023-2024,Highest Win %,Benfica,17,4,Win,2.0,3
2023-2024,Highest Win %,Porto,17,3,Win,2.0,2
2022-2023,Lowest Draw %,Sp Braga,17,8,Win,9.0,21
2022-2023,Lowest Draw %,Benfica,17,16,Win,378.0,987
2022-2023,Lowest Draw %,Sp Lisbon,17,9,Win,14.0,34
2022-2023,Longest Unbeaten Streak,Porto,17,8,Win,9.0,21
2022-2023,Longest Unbeaten Streak,Sp Braga,17,8,Win,9.0,21
2022-2023,Longest Unbeaten Streak,Arouca,17,2,Win,1.0,1
2022-2023,Highest Loss %,Pacos Ferreira,17,8,Win,9.0,21
2022-2023,Highest Loss %,Maritimo,17,14,Win,145.0,377
2022-2023,Highest Loss %,Portimonense,17,10,Win,22.0,55
2022-2023,Highest Win %,Benfica,17,16,Win,378.0,987
2022-2023,Highest Win %,Sp Braga,17,8,Win,9.0,21
2022-2023,Highest Win %,Porto,17,8,Win,9.0,21
2021-2022,Lowest Draw %,Benfica,17,1,Win,2.0,1
2021-2022,Lowest Draw %,Tondela,17,1,Win,2.0,1
2021-2022,Lowest Draw %,Porto,17,5,Win,3.0,5
2021-2022,Longest Unbeaten Streak,Porto,17,5,Win,3.0,5
2021-2022,Longest Unbeaten Streak,Sp Braga,17,7,Win,6.0,13
2021-2022,Longest Unbeaten Streak,Famalicao,17,1,Win,2.0,1
2021-2022,Highest Loss %,Tondela,17,1,Win,2.0,1
2021-2022,Highest Loss %,Belenenses,17,2,Win,1.0,1
2021-2022,Highest Loss %,Arouca,17,3,Win,2.0,2
2021-2022,Highest Win %,Porto,17,5,Win,3.0,5
2021-2022,Highest Win %,Sp Lisbon,17,5,Win,3.0,5
2021-2022,Highest Win %,Benfica,17,1,Win,2.0,1
2020-2021,Lowest Draw %,Sp Braga,17,1,Win,2.0,1
2020-2021,Lowest Draw %,Maritimo,17,4,Win,2.0,3
2020-2021,Lowest Draw %,Tondela,17,7,Win,6.0,13
2020-2021,Longest Unbeaten Streak,Sp Lisbon,17,4,Win,2.0,3
2020-2021,Longest Unbeaten Streak,Porto,17,1,Win,2.0,1
2020-2021,Longest Unbeaten Streak,Pacos Ferreira,17,1,Win,2.0,1
2020-2021,Highest Loss %,Farense,17,2,Win,1.0,1
2020-2021,Highest Loss %,Maritimo,17,4,Win,2.0,3
2020-2021,Highest Loss %,Portimonense,17,1,Win,2.0,1
2020-2021,Highest Win %,Sp Lisbon,17,4,Win,2.0,3
2020-2021,Highest Win %,Sp Braga,17,1,Win,2.0,1
2020-2021,Highest Win %,Porto,17,1,Win,2.0,1
2019-2020,Lowest Draw %,Benfica,17,6,Win,4.0,8
