Team,Total Matches,Total Draws,Draw Percentage (%),Current Streak Without Draw,Longest Streak Without Draw,Average Streak Without Draw,Draw Consistency (Std Dev %),Draw Trend (Slope)
Cambuur,68,10,14.71,13,17,8.29,4.16,-5.8824
PSV Eindhoven,170,26,15.29,11,18,6.0,7.02,-2.6471
Feyenoord,170,37,21.76,10,14,4.29,6.77,-1.4706
Heerenveen,170,44,25.88,8,8,3.82,6.38,-3.2353
FC Emmen,68,19,27.94,6,8,3.5,2.08,1.4706
Waalwijk,170,43,25.29,6,26,3.63,4.46,-2.0588
Heracles,136,32,23.53,6,9,4.0,6.35,1.4706
Volendam,68,13,19.12,6,11,4.58,2.08,2.9412
Den Haag,34,10,29.41,5,5,3.43,,0.0
Twente,170,44,25.88,5,12,3.6,5.66,-1.7647
Nijmegen,136,41,30.15,3,10,3.28,10.57,-2.0588
Excelsior,68,16,23.53,3,10,3.47,12.48,17.6471
Zwolle,136,37,27.21,2,18,3.41,6.95,0.8824
Go Ahead Eagles,136,35,25.74,2,16,3.74,5.57,2.6471
VVV Venlo,34,5,14.71,2,14,4.83,,0.0
Sparta Rotterdam,170,46,27.06,1,12,3.88,6.38,1.1765
Groningen,136,32,23.53,1,9,3.71,4.16,0.3361
Ajax,170,35,20.59,1,19,5.0,8.57,2.9412
Almere City,68,23,33.82,0,8,3.0,6.24,-8.8235
Utrecht,170,55,32.35,0,16,3.38,5.5,-2.3529
NAC Breda,34,9,26.47,0,12,4.17,,0.0
AZ Alkmaar,170,39,22.94,0,17,5.24,2.46,0.8824
Vitesse,136,29,21.32,0,11,4.28,5.57,0.2941
For Sittard,170,35,20.59,0,19,4.82,7.5,3.5294
Willem II,102,21,20.59,0,14,4.05,2.94,1.0181
