Season,Scenario,Team,Matches To 50% Mark,Games In Progression,Outcome,Profit/Loss (Units),Max Capital Needed (Units)
2024-2025,Lowest Draw %,Brentford,19,2,Win,1.0,1
2024-2025,Lowest Draw %,Southampton,19,11,Win,35.0,89
2024-2025,Lowest Draw %,Tottenham,19,9,Win,14.0,34
2024-2025,Longest Unbeaten Streak,Liverpool,19,1,Win,2.0,1
2024-2025,Longest Unbeaten Streak,Arsenal,19,1,Win,2.0,1
2024-2025,Longest Unbeaten Streak,Bournemouth,19,2,Win,1.0,1
2024-2025,Highest Loss %,Southampton,19,11,Win,35.0,89
2024-2025,Highest Loss %,Wolves,19,9,Win,14.0,34
2024-2025,Highest Loss %,Leicester,19,13,Win,90.0,233
2024-2025,Highest Win %,Liverpool,19,1,Win,2.0,1
2024-2025,Highest Win %,Arsenal,19,1,Win,2.0,1
2024-2025,Highest Win %,Nott'm Forest,19,2,Win,1.0,1
2023-2024,Lowest Draw %,Man United,19,2,Win,1.0,1
2023-2024,Lowest Draw %,Burnley,19,2,Win,1.0,1
2023-2024,Lowest Draw %,Newcastle,19,4,Win,2.0,3
2023-2024,Longest Unbeaten Streak,Liverpool,19,9,Win,14.0,34
2023-2024,Longest Unbeaten Streak,Man City,19,5,Win,3.0,5
2023-2024,Longest Unbeaten Streak,West Ham,19,1,Win,2.0,1
2023-2024,Highest Loss %,Burnley,19,2,Win,1.0,1
2023-2024,Highest Loss %,Sheffield United,19,2,Win,1.0,1
2023-2024,Highest Loss %,Luton,19,1,Win,2.0,1
2023-2024,Highest Win %,Man City,19,5,Win,3.0,5
2023-2024,Highest Win %,Arsenal,19,10,Win,22.0,55
2023-2024,Highest Win %,Aston Villa,19,2,Win,1.0,1
2022-2023,Lowest Draw %,Arsenal,19,2,Win,1.0,1
2022-2023,Lowest Draw %,Leicester,19,1,Win,2.0,1
2022-2023,Lowest Draw %,Southampton,19,7,Win,6.0,13
2022-2023,Longest Unbeaten Streak,Newcastle,19,1,Win,2.0,1
2022-2023,Longest Unbeaten Streak,Arsenal,19,2,Win,1.0,1
2022-2023,Longest Unbeaten Streak,Brentford,19,1,Win,2.0,1
2022-2023,Highest Loss %,Leicester,19,1,Win,2.0,1
2022-2023,Highest Loss %,West Ham,19,2,Win,1.0,1
2022-2023,Highest Loss %,Southampton,19,7,Win,6.0,13
2022-2023,Highest Win %,Arsenal,19,2,Win,1.0,1
2022-2023,Highest Win %,Man City,19,5,Win,3.0,5
2022-2023,Highest Win %,Man United,19,3,Win,2.0,2
2021-2022,Lowest Draw %,Aston Villa,19,1,Win,2.0,1
2021-2022,Lowest Draw %,Arsenal,19,2,Win,1.0,1
2021-2022,Lowest Draw %,Watford,19,2,Win,1.0,1
