Season,Scenario,Team,Matches To 50% Mark,Games In Progression,Outcome,Profit/Loss (Units),Max Capital Needed (Units)
2024-2025,Lowest Draw %,Holstein Kiel,17,2,Win,1.0,1
2024-2025,Lowest Draw %,Bochum,17,1,Win,2.0,1
2024-2025,Lowest Draw %,Heidenheim,17,6,Win,4.0,8
2024-2025,Longest Unbeaten Streak,Leverkusen,17,2,Win,1.0,1
2024-2025,Longest Unbeaten Streak,Bayern Munich,17,5,Win,3.0,5
2024-2025,Longest Unbeaten Streak,Heidenheim,17,6,Win,4.0,8
2024-2025,Highest Loss %,Bochum,17,1,Win,2.0,1
2024-2025,Highest Loss %,Holstein Kiel,17,2,Win,1.0,1
2024-2025,Highest Loss %,Heidenheim,17,6,Win,4.0,8
2024-2025,Highest Win %,Bayern Munich,17,5,Win,3.0,5
2024-2025,Highest Win %,Leverkusen,17,2,Win,1.0,1
2024-2025,Highest Win %,Ein Frankfurt,17,2,Win,1.0,1
2023-2024,Lowest Draw %,Stuttgart,17,6,Win,4.0,8
2023-2024,Lowest Draw %,Bayern Munich,17,7,Win,6.0,13
2023-2024,Lowest Draw %,Wolfsburg,17,1,Win,2.0,1
2023-2024,Longest Unbeaten Streak,Leverkusen,17,2,Win,1.0,1
2023-2024,Longest Unbeaten Streak,Werder Bremen,17,6,Win,4.0,8
2023-2024,Longest Unbeaten Streak,Heidenheim,17,1,Win,2.0,1
2023-2024,Highest Loss %,Darmstadt,17,1,Win,2.0,1
2023-2024,Highest Loss %,Union Berlin,17,3,Win,2.0,2
2023-2024,Highest Loss %,FC Koln,17,2,Win,1.0,1
2023-2024,Highest Win %,Leverkusen,17,2,Win,1.0,1
2023-2024,Highest Win %,Bayern Munich,17,7,Win,6.0,13
2023-2024,Highest Win %,Stuttgart,17,6,Win,4.0,8
2022-2023,Lowest Draw %,Bochum,17,9,Win,14.0,34
2022-2023,Lowest Draw %,Dortmund,17,7,Win,6.0,13
2022-2023,Lowest Draw %,Union Berlin,17,4,Win,2.0,3
2022-2023,Longest Unbeaten Streak,Bayern Munich,17,1,Win,2.0,1
2022-2023,Longest Unbeaten Streak,RB Leipzig,17,2,Win,1.0,1
2022-2023,Longest Unbeaten Streak,Wolfsburg,17,3,Win,2.0,2
2022-2023,Highest Loss %,Schalke 04,17,1,Win,2.0,1
2022-2023,Highest Loss %,Bochum,17,9,Win,14.0,34
2022-2023,Highest Loss %,Hertha,17,7,Win,6.0,13
2022-2023,Highest Win %,Bayern Munich,17,1,Win,2.0,1
2022-2023,Highest Win %,Union Berlin,17,4,Win,2.0,3
2022-2023,Highest Win %,Dortmund,17,7,Win,6.0,13
2021-2022,Lowest Draw %,Bayern Munich,17,8,Win,9.0,21
2021-2022,Lowest Draw %,Dortmund,17,7,Win,6.0,13
2021-2022,Lowest Draw %,Bochum,17,3,Win,2.0,2
2021-2022,Longest Unbeaten Streak,Hoffenheim,17,9,Win,14.0,34
2021-2022,Longest Unbeaten Streak,Bayern Munich,17,8,Win,9.0,21
