Team,Total Matches,Total Draws,Draw Percentage (%),Current Streak Without Draw,Longest Streak Without Draw,Average Streak Without Draw,Draw Consistency (Std Dev %),Draw Trend (Slope)
Reggiana,114,35,30.7,8,11,3.59,13.25,4.0486
Salernitana,76,21,27.63,8,14,4.23,5.58,-1.9737
Lecce,76,28,36.84,7,10,3.69,0.0,0.0
Venezia,114,31,27.19,6,11,3.19,9.24,-6.015
Lecco,38,8,21.05,6,7,4.29,,0.0
Cagliari,38,15,39.47,5,6,3.83,,0.0
Cosenza,190,68,35.79,5,11,2.98,5.77,-1.3158
Vicenza,76,22,28.95,5,10,3.86,14.89,-21.0526
Cesena,38,11,28.95,5,6,3.0,,0.0
Reggina,114,27,23.68,5,14,4.14,13.16,-13.1579
Empoli,38,16,42.11,4,5,2.2,,0.0
Spezia,76,32,42.11,4,5,1.83,3.72,-5.2632
Pescara,38,11,28.95,4,10,3.38,,0.0
Virtus Entella,38,11,28.95,4,16,4.5,,0.0
Ternana,114,29,25.44,4,10,3.54,1.52,1.3158
Spal,114,43,37.72,3,8,2.73,1.52,-0.0
Perugia,76,25,32.89,3,10,3.0,13.03,-18.4211
Monza,76,23,30.26,3,7,3.31,5.58,-7.8947
Benevento,76,23,30.26,3,10,3.31,9.3,13.1579
Genoa,38,11,28.95,3,4,2.25,,0.0
Chievo,38,14,36.84,2,7,3.0,,0.0
Cittadella,190,64,33.68,2,9,2.8,5.71,-1.0526
Frosinone,152,51,33.55,2,16,2.73,8.96,1.1278
Cremonese,152,44,28.95,2,9,3.48,4.8,0.7895
FeralpiSalo,38,9,23.68,2,8,3.62,,0.0
Sassuolo,38,7,18.42,2,15,4.43,,0.0
Brescia,190,70,36.84,1,9,2.93,5.26,2.6316
Crotone,38,14,36.84,1,6,2.4,,0.0
Modena,114,41,35.96,1,11,2.7,10.96,7.8947
Pisa,190,63,33.16,1,10,2.7,7.11,-3.6842
Pordenone,76,24,31.58,1,7,2.6,11.16,-15.7895
Ascoli,152,44,28.95,1,8,3.09,6.45,3.1579
Alessandria,38,10,26.32,1,10,4.0,,0.0
Bari,114,49,42.98,0,6,2.6,5.48,5.2632
Catanzaro,76,29,38.16,0,14,2.94,20.47,28.9474
Mantova,38,14,36.84,0,6,2.18,,0.0
Como,114,41,35.96,0,8,2.92,9.24,-5.2632
Parma,114,39,34.21,0,7,2.88,7.89,-3.9474
Sampdoria,76,26,34.21,0,9,2.78,14.89,21.0526
Juve Stabia,38,13,34.21,0,7,2.78,,0.0
Palermo,114,37,32.46,0,10,3.21,8.46,-7.8947
Sudtirol,114,37,32.46,0,11,3.08,8.46,-7.8947
Carrarese,38,12,31.58,0,7,2.89,,0.0
