Team,Total Matches,Total Draws,Draw Percentage (%),Current Streak Without Draw,Longest Streak Without Draw,Average Streak Without Draw,Draw Consistency (Std Dev %),Draw Trend (Slope)
Millwall,230,66,28.7,13,13,3.73,5.83,-3.0435
Blackpool,92,23,25.0,11,11,4.06,1.54,-2.1739
Leicester,46,4,8.7,9,17,8.4,,0.0
Plymouth,92,25,27.17,7,8,3.53,1.54,2.1739
Southampton,46,9,19.57,7,10,4.11,,0.0
Leeds,92,22,23.91,6,12,4.12,6.15,8.6957
Burnley,92,30,32.61,5,15,2.7,3.07,2.1739
Luton,184,50,27.17,5,11,3.53,6.76,-0.3727
Sunderland,138,36,26.09,5,12,3.78,7.84,-2.1739
Barnsley,92,21,22.83,5,18,5.07,4.61,6.5217
Peterboro,46,10,21.74,5,6,4.0,,0.0
Brentford,46,15,32.61,4,11,3.44,,0.0
Coventry,230,64,27.83,4,16,3.32,5.41,-1.7391
QPR,230,56,24.35,4,13,3.78,3.89,1.7391
Wycombe,46,10,21.74,4,7,4.0,,0.0
Bournemouth,92,24,26.09,3,11,3.78,3.07,4.3478
Fulham,46,9,19.57,3,9,6.17,,0.0
Rotherham,138,38,27.54,2,14,3.33,8.79,3.1056
Ipswich,46,12,26.09,2,11,4.25,,0.0
West Brom,184,56,30.43,1,17,3.66,7.32,3.913
Huddersfield,184,55,29.89,1,9,3.07,6.49,2.8261
Birmingham,184,49,26.63,1,12,3.38,3.26,-1.9565
Norwich,184,46,25.0,1,10,3.54,5.17,2.1118
Cardiff,230,54,23.48,1,15,4.4,10.36,0.6522
Reading,138,32,23.19,1,14,3.93,5.47,-2.1739
Middlesbrough,230,48,20.87,1,17,4.67,1.19,-0.2174
Wigan,46,15,32.61,0,12,3.44,,0.0
Oxford,46,14,30.43,0,7,4.0,,0.0
Nott'm Forest,92,27,29.35,0,11,3.82,7.69,-10.8696
Preston,230,64,27.83,0,19,3.86,11.44,4.1304
Watford,184,51,27.72,0,11,3.5,8.4,0.559
Hull,184,51,27.72,0,16,3.8,6.24,1.9565
Stoke,230,63,27.39,0,13,3.88,4.76,-0.0
Portsmouth,46,12,26.09,0,11,4.25,,0.0
Derby,138,35,25.36,0,16,4.9,2.51,-0.3344
Bristol City,230,58,25.22,0,23,3.74,9.04,5.0
Swansea,230,58,25.22,0,11,3.51,2.48,-0.6522
Sheffield Weds,138,32,23.19,0,14,3.93,5.47,0.3344
Blackburn,230,53,23.04,0,32,4.42,3.3,-1.5217
Sheffield United,138,27,19.57,0,18,4.44,5.75,-2.3292
