Season,Scenario,Team,Matches To 50% Mark,Games In Progression,Outcome,Profit/Loss (Units),Max Capital Needed (Units)
2024-2025,Lowest Draw %,Kortrijk,18,1,Win,2.0,1
2024-2025,Lowest Draw %,Charleroi,20,2,Win,1.0,1
2024-2025,Lowest Draw %,Genk,20,7,Win,6.0,13
2024-2025,Longest Unbeaten Streak,Club Brugge,20,3,Win,2.0,2
2024-2025,Longest Unbeaten Streak,St. Gilloise,20,16,Win,378.0,987
2024-2025,Longest Unbeaten Streak,Mechelen,20,5,Win,3.0,5
2024-2025,Highest Loss %,Beerschot VA,18,1,Win,2.0,1
2024-2025,Highest Loss %,Kortrijk,18,1,Win,2.0,1
2024-2025,Highest Loss %,Cercle Brugge,18,2,Win,1.0,1
2024-2025,Highest Win %,Genk,20,7,Win,6.0,13
2024-2025,Highest Win %,Club Brugge,20,3,Win,2.0,2
2024-2025,Highest Win %,Antwerp,20,1,Win,2.0,1
2023-2024,Lowest Draw %,Cercle Brugge,20,1,Win,2.0,1
2023-2024,Lowest Draw %,St. Gilloise,20,2,Win,1.0,1
2023-2024,Lowest Draw %,Eupen,18,13,Win,90.0,233
2023-2024,Longest Unbeaten Streak,St. Gilloise,20,2,Win,1.0,1
2023-2024,Longest Unbeaten Streak,Anderlecht,20,1,Win,2.0,1
2023-2024,Longest Unbeaten Streak,Club Brugge,20,3,Win,2.0,2
2023-2024,Highest Loss %,Kortrijk,18,4,Win,2.0,3
2023-2024,Highest Loss %,Eupen,18,13,Win,90.0,233
2023-2024,Highest Loss %,Oud-Heverlee Leuven,20,1,Win,2.0,1
2023-2024,Highest Win %,St. Gilloise,20,2,Win,1.0,1
2023-2024,Highest Win %,Anderlecht,20,1,Win,2.0,1
2023-2024,Highest Win %,Gent,20,2,Win,1.0,1
2022-2023,Lowest Draw %,Standard,17,1,Win,2.0,1
2022-2023,Lowest Draw %,Charleroi,17,4,Win,2.0,3
2022-2023,Lowest Draw %,Eupen,17,4,Win,2.0,3
2022-2023,Longest Unbeaten Streak,Genk,17,6,Win,4.0,8
2022-2023,Longest Unbeaten Streak,St. Gilloise,17,4,Win,2.0,3
2022-2023,Longest Unbeaten Streak,Cercle Brugge,17,1,Win,2.0,1
2022-2023,Highest Loss %,Seraing,17,3,Win,2.0,2
2022-2023,Highest Loss %,Eupen,17,4,Win,2.0,3
2022-2023,Highest Loss %,Kortrijk,17,6,Win,4.0,8
2022-2023,Highest Win %,Genk,17,6,Win,4.0,8
2022-2023,Highest Win %,St. Gilloise,17,4,Win,2.0,3
2022-2023,Highest Win %,Antwerp,17,1,Win,2.0,1
2021-2022,Lowest Draw %,Seraing,17,8,Win,9.0,21
2021-2022,Lowest Draw %,St. Gilloise,17,4,Win,2.0,3
2021-2022,Lowest Draw %,Oostende,17,6,Win,4.0,8
2021-2022,Longest Unbeaten Streak,Gent,17,4,Win,2.0,3
2021-2022,Longest Unbeaten Streak,Anderlecht,17,3,Win,2.0,2
2021-2022,Longest Unbeaten Streak,Club Brugge,17,3,Win,2.0,2
2021-2022,Highest Loss %,Beerschot VA,17,7,Win,6.0,13
2021-2022,Highest Loss %,Seraing,17,8,Win,9.0,21
2021-2022,Highest Loss %,Cercle Brugge,17,9,Win,14.0,34
2021-2022,Highest Win %,St. Gilloise,17,4,Win,2.0,3
2021-2022,Highest Win %,Antwerp,17,3,Win,2.0,2
2021-2022,Highest Win %,Club Brugge,17,3,Win,2.0,2
2020-2021,Lowest Draw %,Cercle Brugge,17,3,Win,2.0,2
2020-2021,Lowest Draw %,Gent,17,3,Win,2.0,2
2020-2021,Lowest Draw %,Beerschot VA,17,2,Win,1.0,1
2020-2021,Longest Unbeaten Streak,Club Brugge,17,12,Win,56.0,144
2020-2021,Longest Unbeaten Streak,Oud-Heverlee Leuven,17,7,Win,6.0,13
