Season,Scenario,Team,Matches To 50% Mark,Games In Progression,Outcome,Profit/Loss (Units),Max Capital Needed (Units)
2024-2025,Lowest Draw %,Panserraikos,17,1,Win,2.0,1
2024-2025,Lowest Draw %,Volos NFC,17,4,Win,2.0,3
2024-2025,Lowest Draw %,PAOK,16,3,Win,2.0,2
2024-2025,Longest Unbeaten Streak,Panathinaikos,16,2,Win,1.0,1
2024-2025,Longest Unbeaten Streak,Olympiakos,16,4,Win,2.0,3
2024-2025,Longest Unbeaten Streak,PAOK,16,3,Win,2.0,2
2024-2025,Highest Loss %,Panserraikos,17,1,Win,2.0,1
2024-2025,Highest Loss %,Volos NFC,17,4,Win,2.0,3
2024-2025,Highest Loss %,Lamia,17,10,Win,22.0,55
2024-2025,Highest Win %,PAOK,16,3,Win,2.0,2
2024-2025,Highest Win %,Olympiakos,16,4,Win,2.0,3
2024-2025,Highest Win %,AEK,16,10,Win,22.0,55
2023-2024,Lowest Draw %,PAOK,18,4,Win,2.0,3
2023-2024,Lowest Draw %,Panathinaikos,18,5,Win,3.0,5
2023-2024,Lowest Draw %,Asteras Tripolis,16,7,Win,6.0,13
2023-2024,Longest Unbeaten Streak,AEK,18,4,Win,2.0,3
2023-2024,Longest Unbeaten Streak,Atromitos,16,2,Win,1.0,1
2023-2024,Longest Unbeaten Streak,Panathinaikos,18,5,Win,3.0,5
2023-2024,Highest Loss %,Kifisia,16,1,Win,2.0,1
2023-2024,Highest Loss %,Giannina,16,6,Win,4.0,8
2023-2024,Highest Loss %,Volos NFC,16,4,Win,2.0,3
2023-2024,Highest Win %,Panathinaikos,18,5,Win,3.0,5
2023-2024,Highest Win %,PAOK,18,4,Win,2.0,3
2023-2024,Highest Win %,Olympiakos,18,14,Win,145.0,377
2022-2023,Lowest Draw %,AEK,18,9,Win,14.0,34
2022-2023,Lowest Draw %,Panathinaikos,18,6,Win,4.0,8
2022-2023,Lowest Draw %,Aris,18,10,Win,22.0,55
2022-2023,Longest Unbeaten Streak,Olympiakos,18,1,Win,2.0,1
2022-2023,Longest Unbeaten Streak,PAOK,18,3,Win,2.0,2
2022-2023,Longest Unbeaten Streak,Giannina,16,3,Win,2.0,2
2022-2023,Highest Loss %,Ionikos,16,6,Win,4.0,8
2022-2023,Highest Loss %,Levadeiakos,16,2,Win,1.0,1
2022-2023,Highest Loss %,Lamia,16,2,Win,1.0,1
2022-2023,Highest Win %,Panathinaikos,18,6,Win,4.0,8
2022-2023,Highest Win %,AEK,18,9,Win,14.0,34
2022-2023,Highest Win %,Olympiakos,18,1,Win,2.0,1
2021-2022,Lowest Draw %,PAOK,18,1,Win,2.0,1
2021-2022,Lowest Draw %,Panathinaikos,18,9,Win,14.0,34
2021-2022,Lowest Draw %,AEK,18,7,Win,6.0,13
2021-2022,Longest Unbeaten Streak,Olympiakos,18,1,Win,2.0,1
2021-2022,Longest Unbeaten Streak,PAOK,18,1,Win,2.0,1
2021-2022,Longest Unbeaten Streak,Giannina,18,8,Win,9.0,21
2021-2022,Highest Loss %,Atromitos,16,5,Win,3.0,5
2021-2022,Highest Loss %,Panetolikos,16,6,Win,4.0,8
2021-2022,Highest Loss %,Lamia,16,2,Win,1.0,1
2021-2022,Highest Win %,Olympiakos,18,1,Win,2.0,1
2021-2022,Highest Win %,PAOK,18,1,Win,2.0,1
2021-2022,Highest Win %,AEK,18,7,Win,6.0,13
2020-2021,Lowest Draw %,Aris,18,4,Win,2.0,3
2020-2021,Lowest Draw %,Olympiakos,18,5,Win,3.0,5
2020-2021,Lowest Draw %,Apollon,16,4,Win,2.0,3
2020-2021,Longest Unbeaten Streak,Olympiakos,18,5,Win,3.0,5
2020-2021,Longest Unbeaten Streak,Panathinaikos,18,2,Win,1.0,1
2020-2021,Longest Unbeaten Streak,AEK,18,5,Win,3.0,5
2020-2021,Highest Loss %,Lamia,16,2,Win,1.0,1
2020-2021,Highest Loss %,Larisa,16,3,Win,2.0,2
2020-2021,Highest Loss %,Panetolikos,16,2,Win,1.0,1
2020-2021,Highest Win %,Olympiakos,18,5,Win,3.0,5
2020-2021,Highest Win %,Aris,18,4,Win,2.0,3
2020-2021,Highest Win %,AEK,18,5,Win,3.0,5
2019-2020,Lowest Draw %,OFI Crete,18,3,Win,2.0,2
2019-2020,Lowest Draw %,Xanthi,16,5,Win,3.0,5
2019-2020,Lowest Draw %,Panionios,16,7,Win,6.0,13
2019-2020,Longest Unbeaten Streak,Olympiakos,18,3,Win,2.0,2
2019-2020,Longest Unbeaten Streak,Aris,18,5,Win,3.0,5
2019-2020,Longest Unbeaten Streak,Lamia,16,3,Win,2.0,2
2019-2020,Highest Loss %,Panetolikos,16,3,Win,2.0,2
2019-2020,Highest Loss %,Panionios,16,7,Win,6.0,13
2019-2020,Highest Loss %,Asteras Tripolis,16,5,Win,3.0,5
2019-2020,Highest Win %,Olympiakos,18,3,Win,2.0,2
2019-2020,Highest Win %,PAOK,18,8,Win,9.0,21
2019-2020,Highest Win %,AEK,18,3,Win,2.0,2
2018-2019,Lowest Draw %,PAOK,15,4,Win,2.0,3
2018-2019,Lowest Draw %,Aris,15,1,Win,2.0,1
2018-2019,Lowest Draw %,Apollon,15,1,Win,2.0,1
2018-2019,Longest Unbeaten Streak,PAOK,15,4,Win,2.0,3
2018-2019,Longest Unbeaten Streak,Olympiakos,15,15,Loss,-1596.0,610
2018-2019,Longest Unbeaten Streak,AEK,15,4,Win,2.0,3
2018-2019,Highest Loss %,Apollon,15,1,Win,2.0,1
2018-2019,Highest Loss %,Levadeiakos,15,1,Win,2.0,1
2018-2019,Highest Loss %,Giannina,15,8,Win,9.0,21
2018-2019,Highest Win %,PAOK,15,4,Win,2.0,3
2018-2019,Highest Win %,Olympiakos,15,15,Loss,-1596.0,610
2018-2019,Highest Win %,AEK,15,4,Win,2.0,3
2017-2018,Lowest Draw %,Olympiakos,15,4,Win,2.0,3
2017-2018,Lowest Draw %,Platanias,15,5,Win,3.0,5
2017-2018,Lowest Draw %,AEK,15,3,Win,2.0,2
2017-2018,Longest Unbeaten Streak,AEK,15,3,Win,2.0,2
2017-2018,Longest Unbeaten Streak,Asteras Tripolis,15,1,Win,2.0,1
2017-2018,Longest Unbeaten Streak,Olympiakos,15,4,Win,2.0,3
2017-2018,Highest Loss %,Platanias,15,5,Win,3.0,5
2017-2018,Highest Loss %,Kerkyra,15,6,Win,4.0,8
2017-2018,Highest Loss %,Apollon,15,2,Win,1.0,1
2017-2018,Highest Win %,Olympiakos,15,4,Win,2.0,3
2017-2018,Highest Win %,AEK,15,3,Win,2.0,2
2017-2018,Highest Win %,PAOK,15,15,Loss,-1596.0,610
2016-2017,Lowest Draw %,PAOK,15,5,Win,3.0,5
2016-2017,Lowest Draw %,Olympiakos,15,1,Win,2.0,1
2016-2017,Lowest Draw %,Levadeiakos,15,2,Win,1.0,1
2016-2017,Longest Unbeaten Streak,Olympiakos,15,1,Win,2.0,1
2016-2017,Longest Unbeaten Streak,Panionios,15,3,Win,2.0,2
2016-2017,Longest Unbeaten Streak,Platanias,15,2,Win,1.0,1
2016-2017,Highest Loss %,Levadeiakos,15,2,Win,1.0,1
2016-2017,Highest Loss %,Iraklis,15,2,Win,1.0,1
2016-2017,Highest Loss %,Asteras Tripolis,15,1,Win,2.0,1
2016-2017,Highest Win %,Olympiakos,15,1,Win,2.0,1
2016-2017,Highest Win %,Xanthi,15,3,Win,2.0,2
2016-2017,Highest Win %,PAOK,15,5,Win,3.0,5
2015-2016,Lowest Draw %,Olympiakos,15,3,Win,2.0,2
2015-2016,Lowest Draw %,Atromitos,15,1,Win,2.0,1
2015-2016,Lowest Draw %,Panathinaikos,15,3,Win,2.0,2
2015-2016,Longest Unbeaten Streak,Olympiakos,15,3,Win,2.0,2
2015-2016,Longest Unbeaten Streak,PAOK,15,3,Win,2.0,2
2015-2016,Longest Unbeaten Streak,Levadeiakos,15,2,Win,1.0,1
2015-2016,Highest Loss %,Kallonis,15,7,Win,6.0,13
2015-2016,Highest Loss %,Atromitos,15,1,Win,2.0,1
2015-2016,Highest Loss %,Panthrakikos,15,2,Win,1.0,1
2015-2016,Highest Win %,Olympiakos,15,3,Win,2.0,2
2015-2016,Highest Win %,Panathinaikos,15,3,Win,2.0,2
2015-2016,Highest Win %,AEK,15,8,Win,9.0,21
2014-2015,Lowest Draw %,Niki Volos,17,17,Loss,-4180.0,1597
2014-2015,Lowest Draw %,PAOK,17,6,Win,4.0,8
2014-2015,Lowest Draw %,OFI,17,17,Loss,-4180.0,1597
2014-2015,Longest Unbeaten Streak,Olympiakos,17,6,Win,4.0,8
2014-2015,Longest Unbeaten Streak,Panetolikos,17,3,Win,2.0,2
2014-2015,Longest Unbeaten Streak,Atromitos,17,1,Win,2.0,1
2014-2015,Highest Loss %,Niki Volos,17,17,Loss,-4180.0,1597
2014-2015,Highest Loss %,Panionios,17,1,Win,2.0,1
2014-2015,Highest Loss %,Ergotelis,17,1,Win,2.0,1
2014-2015,Highest Win %,PAOK,17,6,Win,4.0,8
2014-2015,Highest Win %,Olympiakos,17,6,Win,4.0,8
2014-2015,Highest Win %,Panathinaikos,17,2,Win,1.0,1
2013-2014,Lowest Draw %,Olympiakos,17,2,Win,1.0,1
2013-2014,Lowest Draw %,Kallonis,17,4,Win,2.0,3
2013-2014,Lowest Draw %,Levadeiakos,17,6,Win,4.0,8
2013-2014,Longest Unbeaten Streak,Olympiakos,17,2,Win,1.0,1
2013-2014,Longest Unbeaten Streak,Atromitos,17,2,Win,1.0,1
2013-2014,Longest Unbeaten Streak,PAOK,17,10,Win,22.0,55
2013-2014,Highest Loss %,Levadeiakos,17,6,Win,4.0,8
2013-2014,Highest Loss %,Aris,17,3,Win,2.0,2
2013-2014,Highest Loss %,Kallonis,17,4,Win,2.0,3
2013-2014,Highest Win %,Olympiakos,17,2,Win,1.0,1
2013-2014,Highest Win %,PAOK,17,10,Win,22.0,55
2013-2014,Highest Win %,Panathinaikos,17,5,Win,3.0,5
2012-2013,Lowest Draw %,Panionios,15,2,Win,1.0,1
2012-2013,Lowest Draw %,Panthrakikos,15,2,Win,1.0,1
2012-2013,Lowest Draw %,AEK,15,3,Win,2.0,2
2012-2013,Longest Unbeaten Streak,Olympiakos,15,12,Win,56.0,144
2012-2013,Longest Unbeaten Streak,Panthrakikos,15,2,Win,1.0,1
2012-2013,Longest Unbeaten Streak,Atromitos,15,2,Win,1.0,1
2012-2013,Highest Loss %,AEK,15,3,Win,2.0,2
2012-2013,Highest Loss %,Panionios,15,2,Win,1.0,1
2012-2013,Highest Loss %,Kerkyra,15,3,Win,2.0,2
2012-2013,Highest Win %,Olympiakos,15,12,Win,56.0,144
2012-2013,Highest Win %,PAOK,15,2,Win,1.0,1
2012-2013,Highest Win %,Asteras Tripolis,15,5,Win,3.0,5
2011-2012,Lowest Draw %,AEK,15,2,Win,1.0,1
2011-2012,Lowest Draw %,Ergotelis,15,3,Win,2.0,2
2011-2012,Lowest Draw %,Xanthi,15,1,Win,2.0,1
2011-2012,Longest Unbeaten Streak,Xanthi,15,1,Win,2.0,1
2011-2012,Longest Unbeaten Streak,PAOK,15,1,Win,2.0,1
2011-2012,Longest Unbeaten Streak,Olympiakos,15,1,Win,2.0,1
2011-2012,Highest Loss %,Doxa Dramas,15,13,Win,90.0,233
2011-2012,Highest Loss %,Levadeiakos,15,9,Win,14.0,34
2011-2012,Highest Loss %,Giannina,15,4,Win,2.0,3
2011-2012,Highest Win %,Panathinaikos,15,15,Loss,-1596.0,610
2011-2012,Highest Win %,Olympiakos,15,1,Win,2.0,1
2011-2012,Highest Win %,AEK,15,2,Win,1.0,1
2010-2011,Lowest Draw %,Olympiakos,15,9,Win,14.0,34
2010-2011,Lowest Draw %,PAOK,15,1,Win,2.0,1
2010-2011,Lowest Draw %,Aris,15,4,Win,2.0,3
2010-2011,Longest Unbeaten Streak,Xanthi,15,8,Win,9.0,21
2010-2011,Longest Unbeaten Streak,Ergotelis,15,2,Win,1.0,1
2010-2011,Longest Unbeaten Streak,Olympiakos,15,9,Win,14.0,34
2010-2011,Highest Loss %,Panionios,15,1,Win,2.0,1
2010-2011,Highest Loss %,Larisa,15,6,Win,4.0,8
2010-2011,Highest Loss %,Panserraikos,15,1,Win,2.0,1
2010-2011,Highest Win %,Olympiakos,15,9,Win,14.0,34
2010-2011,Highest Win %,Panathinaikos,15,4,Win,2.0,3
2010-2011,Highest Win %,AEK,15,1,Win,2.0,1
2009-2010,Lowest Draw %,Panathinaikos,15,4,Win,2.0,3
2009-2010,Lowest Draw %,Xanthi,15,1,Win,2.0,1
2009-2010,Lowest Draw %,Panthrakikos,15,4,Win,2.0,3
2009-2010,Longest Unbeaten Streak,Asteras Tripolis,15,8,Win,9.0,21
2009-2010,Longest Unbeaten Streak,Panathinaikos,15,4,Win,2.0,3
2009-2010,Longest Unbeaten Streak,PAOK,15,6,Win,4.0,8
2009-2010,Highest Loss %,Panthrakikos,15,4,Win,2.0,3
2009-2010,Highest Loss %,Levadeiakos,15,1,Win,2.0,1
2009-2010,Highest Loss %,Xanthi,15,1,Win,2.0,1
2009-2010,Highest Win %,Panathinaikos,15,4,Win,2.0,3
2009-2010,Highest Win %,Olympiakos,15,3,Win,2.0,2
2009-2010,Highest Win %,PAOK,15,6,Win,4.0,8
2008-2009,Lowest Draw %,Thrasyvoulos,15,1,Win,2.0,1
2008-2009,Lowest Draw %,Olympiakos,15,9,Win,14.0,34
2008-2009,Lowest Draw %,Panionios,15,1,Win,2.0,1
2008-2009,Longest Unbeaten Streak,AEK,15,1,Win,2.0,1
2008-2009,Longest Unbeaten Streak,Aris,15,2,Win,1.0,1
2008-2009,Longest Unbeaten Streak,Panathinaikos,15,1,Win,2.0,1
2008-2009,Highest Loss %,Thrasyvoulos,15,1,Win,2.0,1
2008-2009,Highest Loss %,Panserraikos,15,1,Win,2.0,1
2008-2009,Highest Loss %,OFI,15,7,Win,6.0,13
2008-2009,Highest Win %,Olympiakos,15,9,Win,14.0,34
2008-2009,Highest Win %,PAOK,15,4,Win,2.0,3
2008-2009,Highest Win %,Panathinaikos,15,1,Win,2.0,1
2007-2008,Lowest Draw %,AEK,15,7,Win,6.0,13
2007-2008,Lowest Draw %,PAOK,15,7,Win,6.0,13
2007-2008,Lowest Draw %,OFI,15,1,Win,2.0,1
2007-2008,Longest Unbeaten Streak,Olympiakos,15,1,Win,2.0,1
2007-2008,Longest Unbeaten Streak,Asteras Tripolis,15,1,Win,2.0,1
2007-2008,Longest Unbeaten Streak,Panathinaikos,15,1,Win,2.0,1
2007-2008,Highest Loss %,Levadeiakos,15,15,Loss,-1596.0,610
2007-2008,Highest Loss %,OFI,15,1,Win,2.0,1
2007-2008,Highest Loss %,Ergotelis,15,3,Win,2.0,2
2007-2008,Highest Win %,AEK,15,7,Win,6.0,13
2007-2008,Highest Win %,Panathinaikos,15,1,Win,2.0,1
2007-2008,Highest Win %,Olympiakos,15,1,Win,2.0,1
2006-2007,Lowest Draw %,Olympiakos,15,1,Win,2.0,1
2006-2007,Lowest Draw %,Panathinaikos,15,3,Win,2.0,2
