Season,Scenario,Team,Matches To 50% Mark,Games In Progression,Outcome,Profit/Loss (Units),Max Capital Needed (Units)
2024-2025,Lowest Draw %,Verona,19,3,Win,2.0,2
2024-2025,Lowest Draw %,Napoli,19,4,Win,2.0,3
2024-2025,Lowest Draw %,Lazio,19,1,Win,2.0,1
2024-2025,Longest Unbeaten Streak,Juventus,19,1,Win,2.0,1
2024-2025,Longest Unbeaten Streak,Inter,19,3,Win,2.0,2
2024-2025,Longest Unbeaten Streak,Atalanta,19,1,Win,2.0,1
2024-2025,Highest Loss %,Verona,19,3,Win,2.0,2
2024-2025,Highest Loss %,Monza,19,6,Win,4.0,8
2024-2025,Highest Loss %,Venezia,19,2,Win,1.0,1
2024-2025,Highest Win %,Napoli,19,4,Win,2.0,3
2024-2025,Highest Win %,Inter,19,3,Win,2.0,2
2024-2025,Highest Win %,Atalanta,19,1,Win,2.0,1
2023-2024,Lowest Draw %,Inter,19,10,Win,22.0,55
2023-2024,Lowest Draw %,Fiorentina,19,1,Win,2.0,1
2023-2024,Lowest Draw %,Lazio,19,2,Win,1.0,1
2023-2024,Longest Unbeaten Streak,Juventus,19,3,Win,2.0,2
2023-2024,Longest Unbeaten Streak,Inter,19,10,Win,22.0,55
2023-2024,Longest Unbeaten Streak,Genoa,19,1,Win,2.0,1
2023-2024,Highest Loss %,Empoli,19,3,Win,2.0,2
2023-2024,Highest Loss %,Verona,19,3,Win,2.0,2
2023-2024,Highest Loss %,Salernitana,19,4,Win,2.0,3
2023-2024,Highest Win %,Inter,19,10,Win,22.0,55
2023-2024,Highest Win %,Juventus,19,3,Win,2.0,2
2023-2024,Highest Win %,Milan,19,3,Win,2.0,2
2022-2023,Lowest Draw %,Inter,19,3,Win,2.0,2
2022-2023,Lowest Draw %,Napoli,19,11,Win,35.0,89
2022-2023,Lowest Draw %,Verona,19,1,Win,2.0,1
2022-2023,Longest Unbeaten Streak,Roma,19,3,Win,2.0,2
2022-2023,Longest Unbeaten Streak,Monza,19,2,Win,1.0,1
2022-2023,Longest Unbeaten Streak,Empoli,19,1,Win,2.0,1
2022-2023,Highest Loss %,Sampdoria,19,2,Win,1.0,1
2022-2023,Highest Loss %,Verona,19,1,Win,2.0,1
2022-2023,Highest Loss %,Cremonese,19,4,Win,2.0,3
2022-2023,Highest Win %,Napoli,19,11,Win,35.0,89
2022-2023,Highest Win %,Inter,19,3,Win,2.0,2
2022-2023,Highest Win %,Milan,19,7,Win,6.0,13
2021-2022,Lowest Draw %,Fiorentina,19,3,Win,2.0,2
2021-2022,Lowest Draw %,Roma,19,5,Win,3.0,5
2021-2022,Lowest Draw %,Salernitana,19,3,Win,2.0,2
2021-2022,Longest Unbeaten Streak,Inter,19,2,Win,1.0,1
2021-2022,Longest Unbeaten Streak,Juventus,19,1,Win,2.0,1
2021-2022,Longest Unbeaten Streak,Fiorentina,19,3,Win,2.0,2
2021-2022,Highest Loss %,Salernitana,19,3,Win,2.0,2
2021-2022,Highest Loss %,Spezia,19,5,Win,3.0,5
2021-2022,Highest Loss %,Cagliari,19,4,Win,2.0,3
2021-2022,Highest Win %,Inter,19,2,Win,1.0,1
2021-2022,Highest Win %,Milan,19,4,Win,2.0,3
2021-2022,Highest Win %,Napoli,19,1,Win,2.0,1
2020-2021,Lowest Draw %,Napoli,19,5,Win,3.0,5
2020-2021,Lowest Draw %,Sampdoria,19,2,Win,1.0,1
2020-2021,Lowest Draw %,Crotone,19,18,Win,988.0,2584
2020-2021,Longest Unbeaten Streak,Atalanta,19,2,Win,1.0,1
2020-2021,Longest Unbeaten Streak,Lazio,19,18,Win,988.0,2584
2020-2021,Longest Unbeaten Streak,Inter,19,12,Win,56.0,144
2020-2021,Highest Loss %,Crotone,19,18,Win,988.0,2584
2020-2021,Highest Loss %,Cagliari,19,1,Win,2.0,1
2020-2021,Highest Loss %,Parma,19,4,Win,2.0,3
2020-2021,Highest Win %,Milan,19,6,Win,4.0,8
2020-2021,Highest Win %,Napoli,19,5,Win,3.0,5
2020-2021,Highest Win %,Inter,19,12,Win,56.0,144
2019-2020,Lowest Draw %,Brescia,19,1,Win,2.0,1
2019-2020,Lowest Draw %,Juventus,19,13,Win,90.0,233
