Season,Scenario,Team,Matches To 50% Mark,Games In Progression,Outcome,Profit/Loss (Units),Max Capital Needed (Units)
2024-2025,Lowest Draw %,PSV Eindhoven,17,1,Win,2.0,1
2024-2025,Lowest Draw %,NAC Breda,17,4,Win,2.0,3
2024-2025,Lowest Draw %,AZ Alkmaar,17,1,Win,2.0,1
2024-2025,Longest Unbeaten Streak,AZ Alkmaar,17,1,Win,2.0,1
2024-2025,Longest Unbeaten Streak,For Sittard,17,4,Win,2.0,3
2024-2025,Longest Unbeaten Streak,Go Ahead Eagles,17,3,Win,2.0,2
2024-2025,Highest Loss %,Almere City,17,1,Win,2.0,1
2024-2025,Highest Loss %,Waalwijk,17,2,Win,1.0,1
2024-2025,Highest Loss %,Nijmegen,17,3,Win,2.0,2
2024-2025,Highest Win %,PSV Eindhoven,17,1,Win,2.0,1
2024-2025,Highest Win %,Ajax,17,9,Win,14.0,34
2024-2025,Highest Win %,Utrecht,17,2,Win,1.0,1
2023-2024,Lowest Draw %,PSV Eindhoven,17,1,Win,2.0,1
2023-2024,Lowest Draw %,Volendam,17,1,Win,2.0,1
2023-2024,Lowest Draw %,Waalwijk,17,2,Win,1.0,1
2023-2024,Longest Unbeaten Streak,PSV Eindhoven,17,1,Win,2.0,1
2023-2024,Longest Unbeaten Streak,Utrecht,17,1,Win,2.0,1
2023-2024,Longest Unbeaten Streak,Ajax,17,3,Win,2.0,2
2023-2024,Highest Loss %,Volendam,17,1,Win,2.0,1
2023-2024,Highest Loss %,Vitesse,17,5,Win,3.0,5
2023-2024,Highest Loss %,Waalwijk,17,2,Win,1.0,1
2023-2024,Highest Win %,PSV Eindhoven,17,1,Win,2.0,1
2023-2024,Highest Win %,Feyenoord,17,2,Win,1.0,1
2023-2024,Highest Win %,Twente,17,2,Win,1.0,1
2022-2023,Lowest Draw %,Excelsior,17,3,Win,2.0,2
2022-2023,Lowest Draw %,PSV Eindhoven,17,3,Win,2.0,2
2022-2023,Lowest Draw %,Cambuur,17,4,Win,2.0,3
2022-2023,Longest Unbeaten Streak,Feyenoord,17,2,Win,1.0,1
2022-2023,Longest Unbeaten Streak,Twente,17,1,Win,2.0,1
2022-2023,Longest Unbeaten Streak,Sparta Rotterdam,17,1,Win,2.0,1
2022-2023,Highest Loss %,Cambuur,17,4,Win,2.0,3
2022-2023,Highest Loss %,Groningen,17,3,Win,2.0,2
2022-2023,Highest Loss %,Volendam,17,1,Win,2.0,1
2022-2023,Highest Win %,AZ Alkmaar,17,2,Win,1.0,1
2022-2023,Highest Win %,PSV Eindhoven,17,3,Win,2.0,2
2022-2023,Highest Win %,Feyenoord,17,2,Win,1.0,1
2021-2022,Lowest Draw %,Cambuur,17,1,Win,2.0,1
2021-2022,Lowest Draw %,PSV Eindhoven,17,11,Win,35.0,89
2021-2022,Lowest Draw %,Heracles,17,1,Win,2.0,1
2021-2022,Longest Unbeaten Streak,PSV Eindhoven,17,11,Win,35.0,89
2021-2022,Longest Unbeaten Streak,Heerenveen,17,8,Win,9.0,21
2021-2022,Longest Unbeaten Streak,Twente,17,1,Win,2.0,1
2021-2022,Highest Loss %,Zwolle,17,4,Win,2.0,3
2021-2022,Highest Loss %,Heracles,17,1,Win,2.0,1
2021-2022,Highest Loss %,For Sittard,17,11,Win,35.0,89
2021-2022,Highest Win %,PSV Eindhoven,17,11,Win,35.0,89
2021-2022,Highest Win %,Ajax,17,15,Win,234.0,610
2021-2022,Highest Win %,Feyenoord,17,8,Win,9.0,21
2020-2021,Lowest Draw %,Vitesse,17,3,Win,2.0,2
2020-2021,Lowest Draw %,Ajax,17,6,Win,4.0,8
2020-2021,Lowest Draw %,Heracles,17,2,Win,1.0,1
2020-2021,Longest Unbeaten Streak,AZ Alkmaar,17,16,Win,378.0,987
2020-2021,Longest Unbeaten Streak,Ajax,17,6,Win,4.0,8
2020-2021,Longest Unbeaten Streak,Groningen,17,5,Win,3.0,5
2020-2021,Highest Loss %,FC Emmen,17,1,Win,2.0,1
2020-2021,Highest Loss %,Willem II,17,6,Win,4.0,8
2020-2021,Highest Loss %,Den Haag,17,1,Win,2.0,1
2020-2021,Highest Win %,Ajax,17,6,Win,4.0,8
2020-2021,Highest Win %,Vitesse,17,3,Win,2.0,2
2020-2021,Highest Win %,PSV Eindhoven,17,5,Win,3.0,5
2019-2020,Lowest Draw %,VVV Venlo,13,6,Win,4.0,8
2019-2020,Lowest Draw %,Zwolle,13,6,Win,4.0,8
2019-2020,Lowest Draw %,FC Emmen,13,1,Win,2.0,1
2019-2020,Longest Unbeaten Streak,Ajax,12,13,Loss,-609.0,233
2019-2020,Longest Unbeaten Streak,Heerenveen,13,5,Win,3.0,5
2019-2020,Longest Unbeaten Streak,Groningen,13,1,Win,2.0,1
2019-2020,Highest Loss %,Waalwijk,13,1,Win,2.0,1
2019-2020,Highest Loss %,VVV Venlo,13,6,Win,4.0,8
2019-2020,Highest Loss %,Den Haag,13,1,Win,2.0,1
2019-2020,Highest Win %,Ajax,12,13,Loss,-609.0,233
2019-2020,Highest Win %,AZ Alkmaar,12,13,Loss,-609.0,233
2019-2020,Highest Win %,Utrecht,12,7,Win,6.0,13
2018-2019,Lowest Draw %,PSV Eindhoven,17,1,Win,2.0,1
2018-2019,Lowest Draw %,Ajax,17,1,Win,2.0,1
2018-2019,Lowest Draw %,Heracles,17,8,Win,9.0,21
2018-2019,Longest Unbeaten Streak,Ajax,17,1,Win,2.0,1
2018-2019,Longest Unbeaten Streak,PSV Eindhoven,17,1,Win,2.0,1
2018-2019,Longest Unbeaten Streak,NAC Breda,17,2,Win,1.0,1
2018-2019,Highest Loss %,Graafschap,17,7,Win,6.0,13
2018-2019,Highest Loss %,Zwolle,17,4,Win,2.0,3
2018-2019,Highest Loss %,NAC Breda,17,2,Win,1.0,1
2018-2019,Highest Win %,PSV Eindhoven,17,1,Win,2.0,1
2018-2019,Highest Win %,Ajax,17,1,Win,2.0,1
2018-2019,Highest Win %,Feyenoord,17,6,Win,4.0,8
2017-2018,Lowest Draw %,PSV Eindhoven,17,7,Win,6.0,13
2017-2018,Lowest Draw %,Den Haag,17,2,Win,1.0,1
2017-2018,Lowest Draw %,AZ Alkmaar,17,2,Win,1.0,1
2017-2018,Longest Unbeaten Streak,Feyenoord,17,2,Win,1.0,1
2017-2018,Longest Unbeaten Streak,Ajax,17,3,Win,2.0,2
2017-2018,Longest Unbeaten Streak,Zwolle,17,9,Win,14.0,34
2017-2018,Highest Loss %,Roda,17,2,Win,1.0,1
2017-2018,Highest Loss %,Twente,17,1,Win,2.0,1
2017-2018,Highest Loss %,Sparta Rotterdam,17,7,Win,6.0,13
2017-2018,Highest Win %,PSV Eindhoven,17,7,Win,6.0,13
2017-2018,Highest Win %,Ajax,17,3,Win,2.0,2
2017-2018,Highest Win %,AZ Alkmaar,17,2,Win,1.0,1
2016-2017,Lowest Draw %,Den Haag,17,7,Win,6.0,13
2016-2017,Lowest Draw %,Go Ahead Eagles,17,2,Win,1.0,1
2016-2017,Lowest Draw %,Feyenoord,17,13,Win,90.0,233
2016-2017,Longest Unbeaten Streak,PSV Eindhoven,17,12,Win,56.0,144
2016-2017,Longest Unbeaten Streak,Utrecht,17,8,Win,9.0,21
2016-2017,Longest Unbeaten Streak,Willem II,17,6,Win,4.0,8
2016-2017,Highest Loss %,Go Ahead Eagles,17,2,Win,1.0,1
2016-2017,Highest Loss %,Den Haag,17,7,Win,6.0,13
2016-2017,Highest Loss %,Excelsior,17,2,Win,1.0,1
2016-2017,Highest Win %,Feyenoord,17,13,Win,90.0,233
2016-2017,Highest Win %,Ajax,17,8,Win,9.0,21
2016-2017,Highest Win %,PSV Eindhoven,17,12,Win,56.0,144
2015-2016,Lowest Draw %,Ajax,17,3,Win,2.0,2
2015-2016,Lowest Draw %,Graafschap,17,5,Win,3.0,5
2015-2016,Lowest Draw %,Heracles,17,3,Win,2.0,2
2015-2016,Longest Unbeaten Streak,PSV Eindhoven,17,10,Win,22.0,55
2015-2016,Longest Unbeaten Streak,Willem II,17,3,Win,2.0,2
2015-2016,Longest Unbeaten Streak,Utrecht,17,10,Win,22.0,55
2015-2016,Highest Loss %,Graafschap,17,5,Win,3.0,5
2015-2016,Highest Loss %,Twente,17,11,Win,35.0,89
2015-2016,Highest Loss %,Excelsior,17,4,Win,2.0,3
2015-2016,Highest Win %,Ajax,17,3,Win,2.0,2
2015-2016,Highest Win %,Feyenoord,17,7,Win,6.0,13
2015-2016,Highest Win %,PSV Eindhoven,17,10,Win,22.0,55
2014-2015,Lowest Draw %,Heracles,17,4,Win,2.0,3
2014-2015,Lowest Draw %,PSV Eindhoven,17,17,Loss,-4180.0,1597
2014-2015,Lowest Draw %,Utrecht,17,2,Win,1.0,1
2014-2015,Longest Unbeaten Streak,Ajax,17,2,Win,1.0,1
2014-2015,Longest Unbeaten Streak,PSV Eindhoven,17,17,Loss,-4180.0,1597
2014-2015,Longest Unbeaten Streak,Groningen,17,2,Win,1.0,1
2014-2015,Highest Loss %,Dordrecht,17,3,Win,2.0,2
2014-2015,Highest Loss %,Heracles,17,4,Win,2.0,3
2014-2015,Highest Loss %,NAC Breda,17,2,Win,1.0,1
2014-2015,Highest Win %,PSV Eindhoven,17,17,Loss,-4180.0,1597
2014-2015,Highest Win %,Ajax,17,2,Win,1.0,1
2014-2015,Highest Win %,Feyenoord,17,2,Win,1.0,1
2013-2014,Lowest Draw %,Den Haag,17,6,Win,4.0,8
2013-2014,Lowest Draw %,AZ Alkmaar,17,7,Win,6.0,13
2013-2014,Lowest Draw %,Heracles,17,1,Win,2.0,1
2013-2014,Longest Unbeaten Streak,Vitesse,17,1,Win,2.0,1
2013-2014,Longest Unbeaten Streak,Twente,17,1,Win,2.0,1
2013-2014,Longest Unbeaten Streak,Ajax,17,4,Win,2.0,3
2013-2014,Highest Loss %,Den Haag,17,6,Win,4.0,8
2013-2014,Highest Loss %,Cambuur,17,6,Win,4.0,8
2013-2014,Highest Loss %,NAC Breda,17,5,Win,3.0,5
2013-2014,Highest Win %,Vitesse,17,1,Win,2.0,1
2013-2014,Highest Win %,Ajax,17,4,Win,2.0,3
2013-2014,Highest Win %,Feyenoord,17,4,Win,2.0,3
2012-2013,Lowest Draw %,PSV Eindhoven,17,5,Win,3.0,5
