Season,Scenario,Team,Matches To 50% Mark,Games In Progression,Outcome,Profit/Loss (Units),Max Capital Needed (Units)
2024-2025,Lowest Draw %,Galatasaray,18,1,Win,2.0,1
2024-2025,Lowest Draw %,Ad. Demirspor,18,5,Win,3.0,5
2024-2025,Lowest Draw %,Antalyaspor,18,2,Win,1.0,1
2024-2025,Longest Unbeaten Streak,Galatasaray,18,1,Win,2.0,1
2024-2025,Longest Unbeaten Streak,Alanyaspor,18,14,Win,145.0,377
2024-2025,Longest Unbeaten Streak,Fenerbahce,18,6,Win,4.0,8
2024-2025,Highest Loss %,Ad. Demirspor,18,5,Win,3.0,5
2024-2025,Highest Loss %,Bodrumspor,18,1,Win,2.0,1
2024-2025,Highest Loss %,Hatayspor,18,1,Win,2.0,1
2024-2025,Highest Win %,Galatasaray,18,1,Win,2.0,1
2024-2025,Highest Win %,Fenerbahce,18,6,Win,4.0,8
2024-2025,Highest Win %,Samsunspor,18,1,Win,2.0,1
2023-2024,Lowest Draw %,Fenerbahce,19,2,Win,1.0,1
2023-2024,Lowest Draw %,Besiktas,19,3,Win,2.0,2
2023-2024,Lowest Draw %,Galatasaray,19,19,Loss,-10945.0,4181
2023-2024,Longest Unbeaten Streak,Fenerbahce,19,2,Win,1.0,1
2023-2024,Longest Unbeaten Streak,Galatasaray,19,19,Loss,-10945.0,4181
2023-2024,Longest Unbeaten Streak,Alanyaspor,19,3,Win,2.0,2
2023-2024,Highest Loss %,Istanbulspor,19,1,Win,2.0,1
2023-2024,Highest Loss %,Samsunspor,19,2,Win,1.0,1
2023-2024,Highest Loss %,Gaziantep,19,2,Win,1.0,1
2023-2024,Highest Win %,Fenerbahce,19,2,Win,1.0,1
2023-2024,Highest Win %,Galatasaray,19,19,Loss,-10945.0,4181
2023-2024,Highest Win %,Trabzonspor,19,1,Win,2.0,1
2022-2023,Lowest Draw %,Kayserispor,18,11,Win,35.0,89
2022-2023,Lowest Draw %,Fenerbahce,18,3,Win,2.0,2
2022-2023,Lowest Draw %,Antalyaspor,18,4,Win,2.0,3
2022-2023,Longest Unbeaten Streak,Galatasaray,18,11,Win,35.0,89
2022-2023,Longest Unbeaten Streak,Besiktas,18,2,Win,1.0,1
2022-2023,Longest Unbeaten Streak,Karagumruk,18,1,Win,2.0,1
2022-2023,Highest Loss %,Istanbulspor,18,10,Win,22.0,55
2022-2023,Highest Loss %,Umraniyespor,18,5,Win,3.0,5
2022-2023,Highest Loss %,Antalyaspor,18,4,Win,2.0,3
2022-2023,Highest Win %,Galatasaray,18,11,Win,35.0,89
2022-2023,Highest Win %,Fenerbahce,18,3,Win,2.0,2
2022-2023,Highest Win %,Besiktas,18,2,Win,1.0,1
2021-2022,Lowest Draw %,Rizespor,19,1,Win,2.0,1
2021-2022,Lowest Draw %,Hatayspor,19,4,Win,2.0,3
2021-2022,Lowest Draw %,Altay,19,6,Win,4.0,8
2021-2022,Longest Unbeaten Streak,Buyuksehyr,19,1,Win,2.0,1
2021-2022,Longest Unbeaten Streak,Konyaspor,19,6,Win,4.0,8
2021-2022,Longest Unbeaten Streak,Gaziantep,19,3,Win,2.0,2
2021-2022,Highest Loss %,Rizespor,19,1,Win,2.0,1
2021-2022,Highest Loss %,Yeni Malatyaspor,19,3,Win,2.0,2
2021-2022,Highest Loss %,Altay,19,6,Win,4.0,8
2021-2022,Highest Win %,Trabzonspor,19,2,Win,1.0,1
2021-2022,Highest Win %,Konyaspor,19,6,Win,4.0,8
2021-2022,Highest Win %,Buyuksehyr,19,1,Win,2.0,1
2020-2021,Lowest Draw %,Besiktas,20,2,Win,1.0,1
2020-2021,Lowest Draw %,Fenerbahce,20,7,Win,6.0,13
2020-2021,Lowest Draw %,Ankaragucu,20,3,Win,2.0,2
2020-2021,Longest Unbeaten Streak,Besiktas,20,2,Win,1.0,1
2020-2021,Longest Unbeaten Streak,Fenerbahce,20,7,Win,6.0,13
2020-2021,Longest Unbeaten Streak,Antalyaspor,20,2,Win,1.0,1
2020-2021,Highest Loss %,Ankaragucu,20,3,Win,2.0,2
2020-2021,Highest Loss %,Denizlispor,20,3,Win,2.0,2
2020-2021,Highest Loss %,Kayserispor,20,2,Win,1.0,1
2020-2021,Highest Win %,Besiktas,20,2,Win,1.0,1
2020-2021,Highest Win %,Fenerbahce,20,7,Win,6.0,13
2020-2021,Highest Win %,Galatasaray,20,8,Win,9.0,21
2019-2020,Lowest Draw %,Rizespor,17,2,Win,1.0,1
2019-2020,Lowest Draw %,Besiktas,17,6,Win,4.0,8
2019-2020,Lowest Draw %,Kasimpasa,17,3,Win,2.0,2
2019-2020,Longest Unbeaten Streak,Buyuksehyr,17,4,Win,2.0,3
2019-2020,Longest Unbeaten Streak,Sivasspor,17,2,Win,1.0,1
2019-2020,Longest Unbeaten Streak,Gaziantep,17,6,Win,4.0,8
2019-2020,Highest Loss %,Kayserispor,17,2,Win,1.0,1
2019-2020,Highest Loss %,Kasimpasa,17,3,Win,2.0,2
2019-2020,Highest Loss %,Antalyaspor,17,3,Win,2.0,2
2019-2020,Highest Win %,Sivasspor,17,2,Win,1.0,1
2019-2020,Highest Win %,Besiktas,17,6,Win,4.0,8
2019-2020,Highest Win %,Fenerbahce,17,4,Win,2.0,3
2018-2019,Lowest Draw %,Goztep,17,7,Win,6.0,13
2018-2019,Lowest Draw %,Ankaragucu,17,5,Win,3.0,5
2018-2019,Lowest Draw %,Kasimpasa,17,7,Win,6.0,13
2018-2019,Longest Unbeaten Streak,Trabzonspor,17,2,Win,1.0,1
2018-2019,Longest Unbeaten Streak,Yeni Malatyaspor,17,3,Win,2.0,2
2018-2019,Longest Unbeaten Streak,Kayserispor,17,1,Win,2.0,1
2018-2019,Highest Loss %,Ankaragucu,17,5,Win,3.0,5
2018-2019,Highest Loss %,Alanyaspor,17,3,Win,2.0,2
2018-2019,Highest Loss %,Goztep,17,7,Win,6.0,13
2018-2019,Highest Win %,Buyuksehyr,17,4,Win,2.0,3
2018-2019,Highest Win %,Kasimpasa,17,7,Win,6.0,13
2018-2019,Highest Win %,Antalyaspor,17,1,Win,2.0,1
2017-2018,Lowest Draw %,Sivasspor,17,1,Win,2.0,1
2017-2018,Lowest Draw %,Osmanlispor,17,1,Win,2.0,1
2017-2018,Lowest Draw %,Galatasaray,17,9,Win,14.0,34
2017-2018,Longest Unbeaten Streak,Fenerbahce,17,2,Win,1.0,1
2017-2018,Longest Unbeaten Streak,Trabzonspor,17,1,Win,2.0,1
2017-2018,Longest Unbeaten Streak,Genclerbirligi,17,3,Win,2.0,2
2017-2018,Highest Loss %,Karabukspor,17,17,Loss,-4180.0,1597
2017-2018,Highest Loss %,Konyaspor,17,1,Win,2.0,1
2017-2018,Highest Loss %,Osmanlispor,17,1,Win,2.0,1
2017-2018,Highest Win %,Buyuksehyr,17,3,Win,2.0,2
2017-2018,Highest Win %,Galatasaray,17,9,Win,14.0,34
2017-2018,Highest Win %,Fenerbahce,17,2,Win,1.0,1
2016-2017,Lowest Draw %,Gaziantepspor,17,3,Win,2.0,2
2016-2017,Lowest Draw %,Bursaspor,17,3,Win,2.0,2
2016-2017,Lowest Draw %,Trabzonspor,17,4,Win,2.0,3
