Team,Total Matches,Total Draws,Draw Percentage (%),Current Streak Without Draw,Longest Streak Without Draw,Average Streak Without Draw,Draw Consistency (Std Dev %),Draw Trend (Slope)
Darmstadt,34,8,23.53,7,7,3.25,,0.0
Dortmund,170,27,15.88,5,22,5.96,6.77,2.9412
Stuttgart,170,45,26.47,4,13,3.57,9.75,-2.9412
Augsburg,170,40,23.53,4,18,4.19,4.65,2.6471
Holstein Kiel,34,7,20.59,4,12,3.38,,0.0
FC Koln,136,43,31.62,2,8,2.74,4.41,3.2353
M'gladbach,170,48,28.24,2,8,2.9,7.38,-1.1765
Union Berlin,170,47,27.65,2,15,3.15,8.72,-3.2353
Greuther Furth,34,9,26.47,2,14,3.57,,0.0
Freiburg,170,43,25.29,2,12,3.74,3.35,-1.4706
Heidenheim,68,17,25.0,2,8,3.92,14.56,-20.5882
Bochum,136,30,22.06,2,18,4.24,9.14,2.9412
Bayern Munich,170,29,17.06,2,23,6.41,5.66,0.0
Ein Frankfurt,170,58,34.12,1,11,3.29,5.34,-1.1765
Wolfsburg,170,43,25.29,1,15,4.54,5.73,0.2941
Werder Bremen,136,34,25.0,1,17,4.64,5.09,-0.5042
Schalke 04,68,17,25.0,1,12,4.25,6.24,4.4118
Hertha,102,25,24.51,1,14,4.05,7.4,-4.4118
RB Leipzig,170,41,24.12,1,20,4.03,6.71,2.6471
Hoffenheim,170,41,24.12,1,10,4.03,6.38,0.5882
St Pauli,34,8,23.53,1,11,3.25,,0.0
Bielefeld,68,21,30.88,0,14,2.94,10.4,14.7059
Mainz,170,50,29.41,0,11,3.08,7.5,2.6471
Leverkusen,170,43,25.29,0,10,4.38,7.08,0.8824
